Date,Ticker,Yfinance_Ticker,Trade,Shares
15/01/19,VOO,VOO,Buy,2
15/01/19,VEA,VEA,Buy,10
15/01/19,VWO,VWO,Buy,3
15/01/19,BND,BND,Buy,6
15/01/19,BNDX,BNDX,Buy,4
15/02/19,VOO,VOO,Buy,2
15/02/19,VEA,VEA,Buy,11
15/02/19,VWO,VWO,Buy,3
15/02/19,BND,BND,Buy,7
15/02/19,BNDX,BNDX,Buy,4
15/03/19,VOO,VOO,Buy,3
15/03/19,VEA,VEA,Buy,11
15/03/19,VWO,VWO,Buy,4
15/03/19,BND,BND,Buy,8
15/03/19,BNDX,BNDX,Buy,5
15/04/19,VOO,VOO,Buy,2
15/04/19,VEA,VEA,Buy,10
15/04/19,VWO,VWO,Buy,3
15/04/19,BND,BND,Buy,7
15/04/19,BNDX,BNDX,Buy,4
15/05/19,VOO,VOO,Buy,2
15/05/19,VEA,VEA,Buy,11
15/05/19,VWO,VWO,Buy,3
15/05/19,BND,BND,Buy,7
15/05/19,BNDX,BNDX,Buy,4
15/06/19,VOO,VOO,Buy,2
15/06/19,VEA,VEA,Buy,11
15/06/19,VWO,VWO,Buy,4
15/06/19,BND,BND,Buy,7
15/06/19,BNDX,BNDX,Buy,4
15/07/19,VOO,VOO,Buy,2
15/07/19,VEA,VEA,Buy,11
15/07/19,VWO,VWO,Buy,3
15/07/19,BND,BND,Buy,8
15/07/19,BNDX,BNDX,Buy,5
15/08/19,VOO,VOO,Buy,2
15/08/19,VEA,VEA,Buy,12
15/08/19,VWO,VWO,Buy,4
15/08/19,BND,BND,Buy,7
15/08/19,BNDX,BNDX,Buy,4
15/09/19,VOO,VOO,Buy,2
15/09/19,VEA,VEA,Buy,11
15/09/19,VWO,VWO,Buy,3
15/09/19,BND,BND,Buy,7
15/09/19,BNDX,BNDX,Buy,4
15/10/19,VOO,VOO,Buy,2
15/10/19,VEA,VEA,Buy,11
15/10/19,VWO,VWO,Buy,4
15/10/19,BND,BND,Buy,7
15/10/19,BNDX,BNDX,Buy,4
15/11/19,VOO,VOO,Buy,2
15/11/19,VEA,VEA,Buy,11
15/11/19,VWO,VWO,Buy,4
15/11/19,BND,BND,Buy,7
15/11/19,BNDX,BNDX,Buy,4
15/12/19,VOO,VOO,Buy,2
15/12/19,VEA,VEA,Buy,10
15/12/19,VWO,VWO,Buy,3
15/12/19,BND,BND,Buy,7
15/12/19,BNDX,BNDX,Buy,4
15/01/20,VOO,VOO,Buy,2
15/01/20,VEA,VEA,Buy,10
15/01/20,VWO,VWO,Buy,3
15/01/20,BND,BND,Buy,7
15/01/20,BNDX,BNDX,Buy,5
15/02/20,VOO,VOO,Buy,2
15/02/20,VEA,VEA,Buy,10
15/02/20,VWO,VWO,Buy,3
15/02/20,BND,BND,Buy,7
15/02/20,BNDX,BNDX,Buy,4
15/03/20,VOO,VOO,Buy,3
15/03/20,VEA,VEA,Buy,14
15/03/20,VWO,VWO,Buy,4
15/03/20,BND,BND,Buy,7
15/03/20,BNDX,BNDX,Buy,4
15/04/20,VOO,VOO,Buy,2
15/04/20,VEA,VEA,Buy,12
15/04/20,VWO,VWO,Buy,4
15/04/20,BND,BND,Buy,6
15/04/20,BNDX,BNDX,Buy,4
15/05/20,VOO,VOO,Buy,2
15/05/20,VEA,VEA,Buy,13
15/05/20,VWO,VWO,Buy,4
15/05/20,BND,BND,Buy,7
15/05/20,BNDX,BNDX,Buy,4
15/06/20,VOO,VOO,Buy,2
15/06/20,VEA,VEA,Buy,12
15/06/20,VWO,VWO,Buy,4
15/06/20,BND,BND,Buy,7
15/06/20,BNDX,BNDX,Buy,4
15/07/20,VOO,VOO,Buy,2
15/07/20,VEA,VEA,Buy,11
15/07/20,VWO,VWO,Buy,3
15/07/20,BND,BND,Buy,7
15/07/20,BNDX,BNDX,Buy,4
15/08/20,VOO,VOO,Buy,2
15/08/20,VEA,VEA,Buy,11
15/08/20,VWO,VWO,Buy,3
15/08/20,BND,BND,Buy,7
15/08/20,BNDX,BNDX,Buy,4
15/09/20,VOO,VOO,Buy,2
15/09/20,VEA,VEA,Buy,10
15/09/20,VWO,VWO,Buy,3
15/09/20,BND,BND,Buy,7
15/09/20,BNDX,BNDX,Buy,4
15/10/20,VOO,VOO,Buy,2
15/10/20,VEA,VEA,Buy,10
15/10/20,VWO,VWO,Buy,3
15/10/20,BND,BND,Buy,7
15/10/20,BNDX,BNDX,Buy,4
15/11/20,VOO,VOO,Buy,2
15/11/20,VEA,VEA,Buy,10
15/11/20,VWO,VWO,Buy,3
15/11/20,BND,BND,Buy,6
15/11/20,BNDX,BNDX,Buy,4
15/12/20,VOO,VOO,Buy,2
15/12/20,VEA,VEA,Buy,9
15/12/20,VWO,VWO,Buy,3
15/12/20,BND,BND,Buy,6
15/12/20,BNDX,BNDX,Buy,4
15/01/21,VOO,VOO,Buy,2
15/01/21,VEA,VEA,Buy,9
15/01/21,VWO,VWO,Buy,2
15/01/21,BND,BND,Buy,6
15/01/21,BNDX,BNDX,Buy,4
15/02/21,VOO,VOO,Buy,1
15/02/21,VEA,VEA,Buy,8
15/02/21,VWO,VWO,Buy,2
15/02/21,BND,BND,Buy,6
15/02/21,BNDX,BNDX,Buy,4
15/03/21,VOO,VOO,Buy,2
15/03/21,VEA,VEA,Buy,10
15/03/21,VWO,VWO,Buy,3
15/03/21,BND,BND,Buy,8
15/03/21,BNDX,BNDX,Buy,5
15/04/21,VOO,VOO,Buy,1
15/04/21,VEA,VEA,Buy,8
15/04/21,VWO,VWO,Buy,2
15/04/21,BND,BND,Buy,7
15/04/21,BNDX,BNDX,Buy,4
15/05/21,VOO,VOO,Buy,2
15/05/21,VEA,VEA,Buy,9
15/05/21,VWO,VWO,Buy,3
15/05/21,BND,BND,Buy,8
15/05/21,BNDX,BNDX,Buy,5
15/06/21,VOO,VOO,Buy,1
15/06/21,VEA,VEA,Buy,8
15/06/21,VWO,VWO,Buy,2
15/06/21,BND,BND,Buy,6
15/06/21,BNDX,BNDX,Buy,4
15/07/21,VOO,VOO,Buy,1
15/07/21,VEA,VEA,Buy,9
15/07/21,VWO,VWO,Buy,3
15/07/21,BND,BND,Buy,7
15/07/21,BNDX,BNDX,Buy,5
15/08/21,VOO,VOO,Buy,2
15/08/21,VEA,VEA,Buy,9
15/08/21,VWO,VWO,Buy,3
15/08/21,BND,BND,Buy,8
15/08/21,BNDX,BNDX,Buy,5
15/09/21,VOO,VOO,Buy,1
15/09/21,VEA,VEA,Buy,8
15/09/21,VWO,VWO,Buy,2
15/09/21,BND,BND,Buy,6
15/09/21,BNDX,BNDX,Buy,4
15/10/21,VOO,VOO,Buy,1
15/10/21,VEA,VEA,Buy,9
15/10/21,VWO,VWO,Buy,3
15/10/21,BND,BND,Buy,7
15/10/21,BNDX,BNDX,Buy,5
15/11/21,VOO,VOO,Buy,1
15/11/21,VEA,VEA,Buy,9
15/11/21,VWO,VWO,Buy,3
15/11/21,BND,BND,Buy,8
15/11/21,BNDX,BNDX,Buy,5
15/12/21,VOO,VOO,Buy,1
15/12/21,VEA,VEA,Buy,9
15/12/21,VWO,VWO,Buy,3
15/12/21,BND,BND,Buy,8
15/12/21,BNDX,BNDX,Buy,5
15/01/22,VOO,VOO,Buy,1
15/01/22,VEA,VEA,Buy,9
15/01/22,VWO,VWO,Buy,3
15/01/22,BND,BND,Buy,8
15/01/22,BNDX,BNDX,Buy,5
15/02/22,VOO,VOO,Buy,1
15/02/22,VEA,VEA,Buy,10
15/02/22,VWO,VWO,Buy,3
15/02/22,BND,BND,Buy,8
15/02/22,BNDX,BNDX,Buy,5
15/03/22,VOO,VOO,Buy,2
15/03/22,VEA,VEA,Buy,11
15/03/22,VWO,VWO,Buy,4
15/03/22,BND,BND,Buy,8
15/03/22,BNDX,BNDX,Buy,5
15/04/22,VOO,VOO,Buy,1
15/04/22,VEA,VEA,Buy,9
15/04/22,VWO,VWO,Buy,3
15/04/22,BND,BND,Buy,7
15/04/22,BNDX,BNDX,Buy,5
15/05/22,VOO,VOO,Buy,2
15/05/22,VEA,VEA,Buy,11
15/05/22,VWO,VWO,Buy,4
15/05/22,BND,BND,Buy,8
15/05/22,BNDX,BNDX,Buy,5
15/06/22,VOO,VOO,Buy,2
15/06/22,VEA,VEA,Buy,10
15/06/22,VWO,VWO,Buy,3
15/06/22,BND,BND,Buy,8
15/06/22,BNDX,BNDX,Buy,5
15/07/22,VOO,VOO,Buy,1
15/07/22,VEA,VEA,Buy,10
15/07/22,VWO,VWO,Buy,3
15/07/22,BND,BND,Buy,7
15/07/22,BNDX,BNDX,Buy,5
15/08/22,VOO,VOO,Buy,1
15/08/22,VEA,VEA,Buy,11
15/08/22,VWO,VWO,Buy,4
15/08/22,BND,BND,Buy,8
15/08/22,BNDX,BNDX,Buy,5
15/09/22,VOO,VOO,Buy,2
15/09/22,VEA,VEA,Buy,12
15/09/22,VWO,VWO,Buy,4
15/09/22,BND,BND,Buy,9
15/09/22,BNDX,BNDX,Buy,6
15/10/22,VOO,VOO,Buy,2
15/10/22,VEA,VEA,Buy,12
15/10/22,VWO,VWO,Buy,4
15/10/22,BND,BND,Buy,8
15/10/22,BNDX,BNDX,Buy,5
15/11/22,VOO,VOO,Buy,1
15/11/22,VEA,VEA,Buy,11
15/11/22,VWO,VWO,Buy,4
15/11/22,BND,BND,Buy,8
15/11/22,BNDX,BNDX,Buy,5
15/12/22,VOO,VOO,Buy,2
15/12/22,VEA,VEA,Buy,12
15/12/22,VWO,VWO,Buy,4
15/12/22,BND,BND,Buy,9
15/12/22,BNDX,BNDX,Buy,6
15/01/23,VOO,VOO,Buy,1
15/01/23,VEA,VEA,Buy,10
15/01/23,VWO,VWO,Buy,3
15/01/23,BND,BND,Buy,8
15/01/23,BNDX,BNDX,Buy,5
15/02/23,VOO,VOO,Buy,2
15/02/23,VEA,VEA,Buy,11
15/02/23,VWO,VWO,Buy,4
15/02/23,BND,BND,Buy,9
15/02/23,BNDX,BNDX,Buy,6
15/03/23,VOO,VOO,Buy,1
15/03/23,VEA,VEA,Buy,10
15/03/23,VWO,VWO,Buy,4
15/03/23,BND,BND,Buy,8
15/03/23,BNDX,BNDX,Buy,5
15/04/23,VOO,VOO,Buy,2
15/04/23,VEA,VEA,Buy,11
15/04/23,VWO,VWO,Buy,4
15/04/23,BND,BND,Buy,9
15/04/23,BNDX,BNDX,Buy,6
15/05/23,VOO,VOO,Buy,1
15/05/23,VEA,VEA,Buy,9
15/05/23,VWO,VWO,Buy,3
15/05/23,BND,BND,Buy,8
15/05/23,BNDX,BNDX,Buy,5
15/06/23,VOO,VOO,Buy,1
15/06/23,VEA,VEA,Buy,10
15/06/23,VWO,VWO,Buy,4
15/06/23,BND,BND,Buy,9
15/06/23,BNDX,BNDX,Buy,6
15/07/23,VOO,VOO,Buy,1
15/07/23,VEA,VEA,Buy,10
15/07/23,VWO,VWO,Buy,4
15/07/23,BND,BND,Buy,9
15/07/23,BNDX,BNDX,Buy,6
15/08/23,VOO,VOO,Buy,2
15/08/23,VEA,VEA,Buy,11
15/08/23,VWO,VWO,Buy,4
15/08/23,BND,BND,Buy,10
15/08/23,BNDX,BNDX,Buy,6
15/09/23,VOO,VOO,Buy,1
15/09/23,VEA,VEA,Buy,9
15/09/23,VWO,VWO,Buy,3
15/09/23,BND,BND,Buy,8
15/09/23,BNDX,BNDX,Buy,5
15/10/23,VOO,VOO,Buy,1
15/10/23,VEA,VEA,Buy,11
15/10/23,VWO,VWO,Buy,4
15/10/23,BND,BND,Buy,9
15/10/23,BNDX,BNDX,Buy,6
15/11/23,VOO,VOO,Buy,1
15/11/23,VEA,VEA,Buy,11
15/11/23,VWO,VWO,Buy,4
15/11/23,BND,BND,Buy,9
15/11/23,BNDX,BNDX,Buy,6
15/12/23,VOO,VOO,Buy,1
15/12/23,VEA,VEA,Buy,10
15/12/23,VWO,VWO,Buy,4
15/12/23,BND,BND,Buy,9
15/12/23,BNDX,BNDX,Buy,6
15/01/24,VOO,VOO,Buy,1
15/01/24,VEA,VEA,Buy,10
15/01/24,VWO,VWO,Buy,4
15/01/24,BND,BND,Buy,9
15/01/24,BNDX,BNDX,Buy,6
15/02/24,VOO,VOO,Buy,1
15/02/24,VEA,VEA,Buy,10
15/02/24,VWO,VWO,Buy,4
15/02/24,BND,BND,Buy,9
15/02/24,BNDX,BNDX,Buy,6
15/02/24,VOO,VOO,Buy,1
15/02/24,VEA,VEA,Buy,9
15/02/24,VWO,VWO,Buy,4
15/02/24,BND,BND,Buy,9
15/02/24,BNDX,BNDX,Buy,5
15/03/24,VOO,VOO,Buy,1
15/03/24,VEA,VEA,Buy,10
15/03/24,VWO,VWO,Buy,4
15/03/24,BND,BND,Buy,9
15/03/24,BNDX,BNDX,Buy,6
15/04/24,VOO,VOO,Buy,1
15/04/24,VEA,VEA,Buy,9
15/04/24,VWO,VWO,Buy,3
15/04/24,BND,BND,Buy,9
15/04/24,BNDX,BNDX,Buy,5
15/05/24,VOO,VOO,Buy,1
15/05/24,VEA,VEA,Buy,9
15/05/24,VWO,VWO,Buy,3
15/05/24,BND,BND,Buy,9
15/05/24,BNDX,BNDX,Buy,5
15/06/24,VOO,VOO,Buy,1
15/06/24,VEA,VEA,Buy,9
15/06/24,VWO,VWO,Buy,3
15/06/24,BND,BND,Buy,9
15/06/24,BNDX,BNDX,Buy,5
15/07/24,VOO,VOO,Buy,1
15/07/24,VEA,VEA,Buy,9
15/07/24,VWO,VWO,Buy,3
15/07/24,BND,BND,Buy,9
15/07/24,BNDX,BNDX,Buy,5